Batch size,Inference time
1,225.36814399063587
4,206.8830735515803
7,204.46839137002826
10,203.3181416336447
13,202.77017935250814
16,203.73584565822966
19,202.21345080062747
22,202.05916231498122
25,201.86862637475133
28,201.825438067317
31,201.78754904097127
34,201.6769475166631
37,201.9933515631065
40,201.55995051609352
43,201.51654176067473
46,201.48037568382594
49,201.49104116598562
52,202.00123903878892
55,201.6001349992373
58,201.9434000750811
61,201.66690426222124
64,201.4317575012683
67,201.34644007393672
70,201.2704448974026
73,201.1537905654883
76,201.44012517075203
79,201.4021417185004
82,201.284938014862
85,201.28888401805477
88,201.61723374016583
91,201.29456073762134
94,201.849937015114
97,201.63949926086156
100,201.5692593762651
