Hidden neurons,# MACs,On chip mem used,Inference time
2,13844,459.00,0.08908456191420555
52,359944,783.00,0.09851207491010427
102,706044,1.11,0.1092679426074028
152,1052144,1.42,0.11878715362399817
202,1398244,1.77,0.1680034026503563
252,1744344,2.08,0.1898589078336954
302,2090444,2.43,0.21029285620898008
352,2436544,2.74,0.27919546235352755
402,2782644,3.08,0.28097622096538544
452,3128744,3.40,0.2959113661199808
502,3474844,3.74,0.31789024360477924
552,3820944,4.06,0.36327225156128407
602,4167044,4.40,0.3596268780529499
652,4513144,4.72,0.36561874207109213
