,Num filters,# MACs,Inference time
0,32,160432128,5.21213561296463
1,42,272498688,12.912711128592491
2,52,414056448,18.03016010671854
3,62,585105408,23.14760908484459
4,72,785645568,29.87075410783291
5,82,1015676928,36.59389913082123
6,92,1275199488,44.79032102972269
7,102,1564213248,52.98674292862415
8,112,1882718208,62.720051035284996
9,122,2230714368,72.45335914194584
10,132,2608201728,83.49253330379725
11,142,3015180288,94.53170746564864
12,152,3451650048,107.33706317842007
13,162,3917611008,120.14241889119148
14,172,4413063168,134.5733543857932
15,182,4938006528,149.00428988039494
16,192,5492441088,164.37824070453644
17,202,6076366848,179.75219152867794
18,212,6689783808,197.76641111820936
19,222,7332691968,215.7806307077408
20,232,8005091328,234.39332284033298
21,242,8706981888,253.0060149729252
22,252,9438363648,272.8888290002942
23,262,10199236608,292.77164302766323
24,272,10989600768,315.82845840603113
25,282,11809456128,338.88527378439903
26,292,12658802688,362.0461327955127
27,302,13537640448,385.2069918066263
28,312,14445969408,408.72455295175314
29,322,15383789568,432.24211409688
30,332,16351100928,461.05633210390806
31,342,17347903488,489.87055011093616
32,352,18374197248,516.7932948097587
33,362,19429982208,543.7160395085812
34,372,20515258368,573.8734127953649
35,382,21630025728,604.0307860821486
36,392,22774284288,637.6467039808631
37,402,23948034048,671.2626218795776
38,412,25151275008,700.755980797112
39,422,26384007168,730.2493397146463
40,432,27646230528,766.0068860277534
41,442,28937945088,801.7644323408604
42,452,30259150848,841.981852427125
43,462,31609847808,882.1992725133896
44,472,32990035968,916.7541693896055
45,482,34399715328,951.3090662658216
46,492,35838885888,992.0849725604057
47,502,37307547648,1032.86087885499
48,512,38805700608,1076.1218471452594
49,522,40333344768,1119.3828154355288
50,532,41890480128,1159.4221433624625
51,542,43477106688,1199.4614712893965
52,552,45093224448,1244.8919471353292
53,562,46738833408,1290.3224229812622
54,572,48413933568,1336.8686400353909
55,582,50118524928,1383.4148570895195
56,592,51852607488,1430.0471944734454
57,602,53616181248,1476.679531857371
58,612,55409246208,1528.9252186194062
59,622,57231802368,1581.1709053814411
60,632,59083849728,1626.1446196585894
61,642,60965388288,1671.1183339357376
62,652,62876418048,1722.0748206600547
63,662,64816939008,1773.0313073843718
64,672,66786951168,1823.3952233567834
65,682,68786454528,1873.759139329195
66,692,70815449088,1933.4138706326485
67,702,72873934848,1993.068601936102
